Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772011653301,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,NaN,NaN,100,0,NaN,0,4.786345958709717,8589934592,2147483648,5937217536,391184384
209,1772011653302,3204,3204,3204,3204,3204,3204,3204,3204,0,0,0,0,NaN,100,50,NaN,4.786345958709717,8589934592,2147483648,5937381376,391184384
202,1772011653512,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,30.000001907348633,28.571430206298828,23.809524536132813,19.047618865966797,19.047618865966797,4.761904716491699,4.761904716491699,4.583041191101074,8589934592,2147483648,5929893888,391184384
202,1772011653715,3204,3204,3204,3204,3204,3204,3204,3204,65,66.66667175292969,52.6315803527832,55,5,0,5,5,4.583041191101074,8589934592,2147483648,5929893888,391184384
202,1772011653917,3204,3204,3204,3204,3204,3204,3204,3204,55,52.38095474243164,47.619049072265625,40,0,0,0,0,4.583041191101074,8589934592,2147483648,6010880000,391184384
209,1772011654120,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,42.105262756347656,35,45,25,20,5,4.761904716491699,4.583041191101074,8589934592,2147483648,6061031424,391184384
209,1772011654330,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,50,47.619049072265625,42.85714340209961,23.809524536132813,27.272727966308594,9.523809432983398,9.523809432983398,4.583041191101074,8589934592,2147483648,6061031424,391184384
209,1772011654540,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,45.45454788208008,42.85714340209961,33.333335876464844,4.761904716491699,4.761904716491699,0,0,5.930871486663818,8589934592,2147483648,6061031424,391184384
209,1772011654750,3204,3204,3204,3204,3204,3204,3204,3204,45,40,40,40,4.545454502105713,0,4.761904716491699,0,5.930871486663818,8589934592,2147483648,6061031424,391184384
209,1772011654959,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,33.333335876464844,33.333335876464844,27.272727966308594,5,9.523809432983398,4.761904716491699,9.523809432983398,5.930871486663818,8589934592,2147483648,6139658240,391184384
206,1772011655170,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,42.85714340209961,36.3636360168457,28.571430206298828,4.761904716491699,0,4.761904716491699,0,5.930871486663818,8589934592,2147483648,6142541824,391184384
200,1772011655376,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,47.619049072265625,35,50,9.523809432983398,5,9.090909004211426,9.523809432983398,5.930871486663818,8589934592,2147483648,6126419968,391184384
201,1772011655577,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,45,40,25,25,25,15.789472579956055,9.523809432983398,6.406126022338867,8589934592,2147483648,6134022144,391184384
202,1772011655779,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,25,25,25,0,0,0,0,6.406126022338867,8589934592,2147483648,6143049728,391184384
209,1772011655982,3204,3204,3204,3204,3204,3204,3204,3204,75,68.42105102539063,65,71.42857360839844,10.526315689086914,20,4.761904716491699,0,6.406126022338867,8589934592,2147483648,6154125312,391184384
202,1772011656193,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,68.18181610107422,77.2727279663086,60.000003814697266,4.761904716491699,14.285715103149414,0,0,6.406126022338867,8589934592,2147483648,6161383424,391184384
201,1772011656396,3204,3204,3204,3204,3204,3204,3204,3204,57.894737243652344,55,78.94737243652344,61.904762268066406,0,0,0,0,6.406126022338867,8589934592,2147483648,6161432576,391184384
200,1772011656597,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,50,75,47.619049072265625,4.761904716491699,0,0,4.761904716491699,5.9897918701171875,8589934592,2147483648,6147883008,391184384
200,1772011656798,3204,3204,3204,3204,3204,3204,3204,3204,65,55,76.19047546386719,68.42105102539063,38.095237731933594,0,0,0,5.9897918701171875,8589934592,2147483648,6143377408,391184384
203,1772011656999,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,55,47.36842346191406,40,0,0,0,0,5.9897918701171875,8589934592,2147483648,6145703936,391184384
209,1772011657202,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,52.38095474243164,52.38095474243164,47.619049072265625,20,10,4.761904716491699,0,5.9897918701171875,8589934592,2147483648,6147588096,391184384
209,1772011657413,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,55,38.095237731933594,30.000001907348633,0,0,0,0,5.9897918701171875,8589934592,2147483648,6147588096,391184384
209,1772011657623,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,57.142860412597656,52.38095474243164,54.54545593261719,35,22.72727394104004,40,9.523809432983398,6.324306011199951,8589934592,2147483648,6147588096,391184384
207,1772011657833,3204,3204,3204,3204,3204,3204,3204,3204,55,57.142860412597656,61.904762268066406,65,19.047618865966797,14.285715103149414,13.636363983154297,4.545454502105713,6.324306011199951,8589934592,2147483648,6147588096,391184384
201,1772011658041,3204,3204,3204,3204,3204,3204,3204,3204,45.45454788208008,25,57.142860412597656,35,36.3636360168457,5,0,0,6.324306011199951,8589934592,2147483648,6196166656,391184384
207,1772011658243,3204,3204,3204,3204,3204,3204,3204,3204,55,50,50,57.142860412597656,5,9.523809432983398,0,0,6.324306011199951,8589934592,2147483648,6185975808,391184384
207,1772011658451,3204,3204,3204,3204,3204,3204,3204,3204,50,52.38095474243164,65,47.619049072265625,0,0,4.545454502105713,4.545454502105713,6.324306011199951,8589934592,2147483648,6185975808,391184384
206,1772011658659,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,68.18181610107422,50,47.619049072265625,5,5,0,0,5.730164051055908,8589934592,2147483648,6185975808,391184384
209,1772011658867,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,65,54.54545593261719,45,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,5.730164051055908,8589934592,2147483648,6185975808,391184384
199,1772011659076,3204,3204,3204,3204,3204,3204,3204,3204,50,57.142860412597656,57.142860412597656,40.90909194946289,0,0,0,0,5.730164051055908,8589934592,2147483648,6184206336,391184384
206,1772011659277,3204,3204,3204,3204,3204,3204,3204,3204,61.11111068725586,50,55,47.36842346191406,23.809524536132813,25,5,0,5.730164051055908,8589934592,2147483648,6167445504,391184384
209,1772011659483,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,47.36842346191406,50,40,5,4.761904716491699,0,4.761904716491699,5.730164051055908,8589934592,2147483648,6162300928,391184384
204,1772011659693,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,50,57.142860412597656,61.904762268066406,14.285715103149414,42.85714340209961,0,4.761904716491699,7.435788154602051,8589934592,2147483648,6164152320,391184384
200,1772011659898,3204,3204,3204,3204,3204,3204,3204,3204,50,45,35,42.85714340209961,23.809524536132813,10,4.761904716491699,0,7.435788154602051,8589934592,2147483648,6149865472,391184384
200,1772011660099,3204,3204,3204,3204,3204,3204,3204,3204,45,47.619049072265625,42.85714340209961,45,4.761904716491699,0,0,4.761904716491699,7.435788154602051,8589934592,2147483648,6151847936,391184384
207,1772011660299,3204,3204,3204,3204,3204,3204,3204,3204,45,52.6315803527832,40,40,26.3157901763916,4.761904716491699,0,0,7.435788154602051,8589934592,2147483648,6151651328,391184384
209,1772011660508,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,47.619049072265625,42.85714340209961,23.809524536132813,20,0,4.761904716491699,0,6.335305690765381,8589934592,2147483648,6151340032,391184384
204,1772011660718,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,66.66667175292969,55,42.85714340209961,0,0,0,0,6.335305690765381,8589934592,2147483648,6150029312,391184384
204,1772011660922,3204,3204,3204,3204,3204,3204,3204,3204,55,61.904762268066406,33.333335876464844,28.571430206298828,4.761904716491699,0,0,0,6.335305690765381,8589934592,2147483648,6153125888,391184384
208,1772011661126,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,45,47.619049072265625,26.3157901763916,0,0,0,0,6.335305690765381,8589934592,2147483648,6151225344,391184384
209,1772011661335,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,47.619049072265625,45,40.90909194946289,0,0,0,0,6.335305690765381,8589934592,2147483648,6152683520,391184384
202,1772011661545,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,47.619049072265625,45,31.57894515991211,0,0,0,4.545454502105713,6.347130298614502,8589934592,2147483648,6153404416,391184384
201,1772011661748,3204,3204,3204,3204,3204,3204,3204,3204,75,70,76.19047546386719,72.7272720336914,4.761904716491699,4.761904716491699,0,0,6.347130298614502,8589934592,2147483648,6153355264,391184384
203,1772011661949,3204,3204,3204,3204,3204,3204,3204,3204,55,66.66667175292969,75,52.6315803527832,30.000001907348633,20,9.523809432983398,4.761904716491699,6.347130298614502,8589934592,2147483648,6149324800,391184384
209,1772011662153,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,47.36842346191406,40,52.38095474243164,10.526315689086914,14.285715103149414,4.761904716491699,0,6.347130298614502,8589934592,2147483648,6146703360,391184384
200,1772011662363,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,52.38095474243164,42.85714340209961,28.571430206298828,9.090909004211426,5,4.761904716491699,4.761904716491699,6.347130298614502,8589934592,2147483648,6141984768,391184384
207,1772011662564,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,40,35,40,0,0,0,0,5.195588111877441,8589934592,2147483648,6144475136,391184384
206,1772011662772,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,61.904762268066406,71.42857360839844,57.142860412597656,14.285715103149414,4.545454502105713,0,0,5.195588111877441,8589934592,2147483648,6144475136,391184384
209,1772011662979,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,55,40,20,9.523809432983398,0,23.809524536132813,0,5.195588111877441,8589934592,2147483648,6144475136,391184384
