Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771994798810,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,NaN,NaN,50,0,0,0,5.590759754180908,8589934592,2147483648,6240272384,433127424
209,1771994798810,3204,3204,3204,3204,3204,3204,3204,3204,0,0,0,0,NaN,NaN,0,0,5.590759754180908,8589934592,2147483648,6239993856,433127424
209,1771994799021,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,28.571430206298828,20,38.095237731933594,15.000000953674316,13.636363983154297,9.523809432983398,5,5.590759754180908,8589934592,2147483648,6239961088,433127424
202,1771994799231,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,76.19047546386719,66.66667175292969,60.000003814697266,9.523809432983398,5,5,4.761904716491699,5.313277721405029,8589934592,2147483648,6239961088,433127424
207,1771994799434,3204,3204,3204,3204,3204,3204,3204,3204,75,75,75,72.7272720336914,10,9.523809432983398,5,5,5.313277721405029,8589934592,2147483648,6155911168,433127424
209,1771994799642,3204,3204,3204,3204,3204,3204,3204,3204,55,52.38095474243164,42.85714340209961,45,28.571430206298828,35,14.285715103149414,9.090909004211426,5.313277721405029,8589934592,2147483648,6124224512,433127424
202,1771994799852,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,57.142860412597656,57.142860412597656,47.619049072265625,14.285715103149414,9.523809432983398,9.090909004211426,5,5.313277721405029,8589934592,2147483648,6129598464,433127424
208,1771994800054,3204,3204,3204,3204,3204,3204,3204,3204,55,47.619049072265625,36.842105865478516,36.842105865478516,0,4.761904716491699,0,0,5.313277721405029,8589934592,2147483648,6135873536,433127424
209,1771994800263,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,57.894737243652344,52.38095474243164,50,22.72727394104004,19.047618865966797,4.761904716491699,9.090909004211426,4.990833759307861,8589934592,2147483648,6172180480,433127424
211,1771994800473,3204,3204,3204,3204,3204,3204,3204,3204,50,42.85714340209961,40.90909194946289,38.095237731933594,0,0,0,0,4.990833759307861,8589934592,2147483648,6187745280,433127424
205,1771994800685,3204,3204,3204,3204,3204,3204,3204,3204,50,42.85714340209961,40,33.333335876464844,14.285715103149414,5,4.761904716491699,4.545454502105713,4.990833759307861,8589934592,2147483648,6199803904,433127424
209,1771994800891,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,57.142860412597656,47.619049072265625,42.105262756347656,4.761904716491699,0,4.761904716491699,0,4.990833759307861,8589934592,2147483648,6178553856,433127424
204,1771994801101,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,45,45,50,0,4.761904716491699,0,0,4.990833759307861,8589934592,2147483648,6174539776,433127424
201,1771994801306,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,28.571430206298828,23.809524536132813,19.047618865966797,14.285715103149414,23.809524536132813,9.523809432983398,5,5.808223247528076,8589934592,2147483648,6208028672,433127424
