Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771997789008,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,NaN,0,0,0,0,0,5.401899814605713,8589934592,2147483648,6249529344,407961600
209,1771997789008,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,100,NaN,0,0,0,0,5.401899814605713,8589934592,2147483648,6250332160,407961600
204,1771997789219,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,38.095237731933594,38.095237731933594,38.095237731933594,0,0,0,0,5.453094959259033,8589934592,2147483648,6248955904,407961600
209,1771997789424,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,30.000001907348633,15.000000953674316,14.285715103149414,31.81818199157715,30.000001907348633,5.263157844543457,14.285715103149414,5.453094959259033,8589934592,2147483648,6254215168,407961600
207,1771997789634,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,80.95238494873047,80.95238494873047,75,10.526315689086914,14.285715103149414,13.636363983154297,0,5.453094959259033,8589934592,2147483648,6269419520,407961600
203,1771997789842,3204,3204,3204,3204,3204,3204,3204,3204,70,70,72.7272720336914,61.904762268066406,14.285715103149414,19.047618865966797,4.761904716491699,4.545454502105713,5.453094959259033,8589934592,2147483648,6270205952,407961600
209,1771997790045,3204,3204,3204,3204,3204,3204,3204,3204,90,86.36363983154297,100,85,14.285715103149414,5.263157844543457,5,5,5.453094959259033,8589934592,2147483648,6267535360,407961600
208,1771997790255,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,50,42.85714340209961,42.85714340209961,0,0,0,0,5.189835548400879,8589934592,2147483648,6262161408,407961600
209,1771997790465,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,55,47.619049072265625,42.85714340209961,5,9.090909004211426,0,0,5.189835548400879,8589934592,2147483648,6241501184,407961600
209,1771997790675,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,40.90909194946289,40.90909194946289,33.333335876464844,9.090909004211426,0,0,0,5.189835548400879,8589934592,2147483648,6234324992,407961600
201,1771997790885,3204,3204,3204,3204,3204,3204,3204,3204,55,45,42.105262756347656,47.619049072265625,0,0,0,0,5.189835548400879,8589934592,2147483648,6220709888,407961600
209,1771997791087,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,45,47.619049072265625,52.6315803527832,5,9.523809432983398,9.090909004211426,0,5.5932440757751465,8589934592,2147483648,6220546048,407961600
209,1771997791296,3204,3204,3204,3204,3204,3204,3204,3204,65,61.904762268066406,57.142860412597656,59.09090805053711,25,33.333335876464844,5.263157844543457,5,5.5932440757751465,8589934592,2147483648,6213779456,407961600
209,1771997791506,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,42.85714340209961,35,25,4.545454502105713,0,0,0,5.5932440757751465,8589934592,2147483648,6197886976,407961600
209,1771997791716,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,81.81818389892578,90.47618865966797,86.36363983154297,23.809524536132813,4.761904716491699,18.18181800842285,9.090909004211426,5.5932440757751465,8589934592,2147483648,6187450368,407961600
207,1771997791926,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,70,76.19047546386719,66.66667175292969,0,0,0,0,5.5932440757751465,8589934592,2147483648,6189449216,407961600
205,1771997792133,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,70,71.42857360839844,70,0,0,0,0,7.403139114379883,8589934592,2147483648,6192726016,407961600
208,1771997792339,3204,3204,3204,3204,3204,3204,3204,3204,70,63.6363639831543,70,61.904762268066406,28.571430206298828,31.81818199157715,9.523809432983398,5,7.403139114379883,8589934592,2147483648,6163087360,407961600
205,1771997792548,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,65,71.42857360839844,85,9.523809432983398,0,0,28.571430206298828,7.403139114379883,8589934592,2147483648,6163496960,407961600
206,1771997792754,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,65,57.142860412597656,52.38095474243164,0,4.761904716491699,4.761904716491699,0,7.403139114379883,8589934592,2147483648,6164791296,407961600
204,1771997792961,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,61.904762268066406,80,66.66667175292969,0,0,0,0,7.403139114379883,8589934592,2147483648,6165364736,407961600
202,1771997793166,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,57.142860412597656,66.66667175292969,70,0,0,0,0,6.76954460144043,8589934592,2147483648,6165266432,407961600
209,1771997793369,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,66.66667175292969,60.000003814697266,75,4.761904716491699,0,0,4.761904716491699,6.76954460144043,8589934592,2147483648,6165954560,407961600
209,1771997793579,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,55,57.142860412597656,59.09090805053711,0,0,0,0,6.76954460144043,8589934592,2147483648,6166773760,407961600
200,1771997793789,3204,3204,3204,3204,3204,3204,3204,3204,55,50,55,45,9.090909004211426,8.69565200805664,0,0,6.76954460144043,8589934592,2147483648,6169165824,407961600
200,1771997793990,3204,3204,3204,3204,3204,3204,3204,3204,35,47.619049072265625,54.54545593261719,70,30.000001907348633,5.263157844543457,45,0,6.76954460144043,8589934592,2147483648,6159663104,407961600
208,1771997794191,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,52.6315803527832,47.36842346191406,45,0,0,0,0,7.122170448303223,8589934592,2147483648,6158417920,407961600
207,1771997794400,3204,3204,3204,3204,3204,3204,3204,3204,50,57.142860412597656,55,71.42857360839844,28.571430206298828,14.285715103149414,9.523809432983398,4.761904716491699,7.122170448303223,8589934592,2147483648,6158417920,407961600
201,1771997794608,3204,3204,3204,3204,3204,3204,3204,3204,40,59.09090805053711,71.42857360839844,42.85714340209961,4.761904716491699,5,0,0,7.122170448303223,8589934592,2147483648,6158417920,407961600
201,1771997794809,3204,3204,3204,3204,3204,3204,3204,3204,75,75,60.000003814697266,65,0,4.761904716491699,0,0,7.122170448303223,8589934592,2147483648,6135398400,407961600
209,1771997795011,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,52.6315803527832,57.142860412597656,45,40,9.523809432983398,0,0,7.122170448303223,8589934592,2147483648,6133121024,407961600
201,1771997795220,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,52.38095474243164,55,70,14.285715103149414,0,4.545454502105713,0,6.70778751373291,8589934592,2147483648,6136217600,407961600
